Method,Ensemble Size,Training Time (s),Prediction Time (s),Accuracy,F1-Score,ROC-AUC
IsolationForest,1,0.02868223100040268,0.02492467799993392,0.825,0.21524663677130046,0.6343555555555556
KMeansIsolationForest,1,0.4911829709999438,0.05421762800006036,0.866,0.33,0.6590333333333334
IsolationForest,10,0.03230549099998825,0.07660219400031565,0.854,0.27,0.6528777777777778
KMeansIsolationForest,10,0.458510319999732,0.09144646699996883,0.888,0.44,0.7537
IsolationForest,25,0.06235356300021522,0.17500215099971683,0.864,0.32,0.6667555555555557
KMeansIsolationForest,25,1.1748918670000421,0.183511198999895,0.892,0.46,0.7412555555555556
IsolationForest,50,0.2137902149997899,0.13335838200009675,0.856,0.28,0.6754666666666667
KMeansIsolationForest,50,2.043432398999812,0.3620080919999964,0.896,0.48,0.7461777777777777
IsolationForest,100,0.409017362999748,0.2758082709997325,0.862,0.31,0.674188888888889
KMeansIsolationForest,100,3.942833382000117,0.661531056000058,0.9,0.5,0.7479444444444445
IsolationForest,200,1.0484941830000025,0.5364178029999493,0.862,0.31,0.6855555555555557
KMeansIsolationForest,200,8.20023571999991,1.2465686350001306,0.898,0.49,0.7397111111111111
IsolationForest,500,2.673671314999865,1.2035998249998556,0.866,0.33,0.6981
KMeansIsolationForest,500,22.057278177999706,3.079937577000237,0.898,0.49,0.7423333333333333
