Method,Subsample Size,Training Time (s),Accuracy,F1-Score,ROC-AUC
IsolationForest,64,0.2504518000000644,0.848,0.24,0.6405444444444445
KMeansIsolationForest,64,1.1850455429998874,0.88,0.4,0.7226888888888889
IsolationForest,128,0.1886550819999684,0.86,0.3,0.6688555555555555
KMeansIsolationForest,128,1.8708011060002718,0.886,0.43,0.7322111111111111
IsolationForest,256,0.37738327499982915,0.862,0.31,0.674188888888889
KMeansIsolationForest,256,4.148535249000361,0.9,0.5,0.7479444444444445
IsolationForest,512,0.23714340000015,0.862,0.31,0.697011111111111
KMeansIsolationForest,512,7.886140698999952,0.906,0.53,0.7575000000000002
IsolationForest,All,0.745417641000131,0.872,0.36,0.742111111111111
KMeansIsolationForest,All,15.64890959200011,0.896,0.48,0.7472222222222222
