Dataset Size,Method,Sequential Time (s),Parallel Time (s),Speedup
500,IsolationForest,0.3509024786002556,0.6631045824000467,0.5291811999401301
500,KMeansIsolationForest,43.231691099999445,4.3586505980001675,9.918595245931154
800,IsolationForest,0.306096198400337,0.2689348936000897,1.138179558267016
800,KMeansIsolationForest,43.48531590879975,4.40192648419943,9.878701078922797
900,IsolationForest,0.2787663315997634,0.3289439624000806,0.8474584229052111
900,KMeansIsolationForest,43.786624864199986,4.861974198200187,9.005935259880438
1000,IsolationForest,0.3408384908001608,0.3399969409998448,1.0024751687407576
1000,KMeansIsolationForest,44.20523945220047,4.570741961000385,9.671348728363874
5000,IsolationForest,0.3545298538003408,0.35093294580001383,1.0102495591917915
5000,KMeansIsolationForest,44.20166776059996,4.678772502400534,9.447278690708181
